SalePrice,MSSubClass,LotFrontage,LotArea,LotConfig,Neighborhood,Condition1,Condition2,YearBuilt,YearRemodAdd,RoofStyle,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,MoSold,YrSold,SaleCondition
208500,60,65,8450,Inside,CollgCr,Norm,Norm,2003,2003,Gable,BrkFace,196,Gd,PConc,150,856,856,854,1710,3,1,Gd,8,Attchd,2003,RFn,2,548,2,2008,Normal
181500,20,80,9600,FR2,Veenker,Feedr,Norm,1976,1976,Gable,None,0,TA,CBlock,284,1262,1262,0,1262,3,1,TA,6,Attchd,1976,RFn,2,460,5,2007,Normal
223500,60,68,11250,Inside,CollgCr,Norm,Norm,2001,2002,Gable,BrkFace,162,Gd,PConc,434,920,920,866,1786,3,1,Gd,6,Attchd,2001,RFn,2,608,9,2008,Normal
140000,70,60,9550,Corner,Crawfor,Norm,Norm,1915,1970,Gable,None,0,TA,BrkTil,540,756,961,756,1717,3,1,Gd,7,Detchd,1998,Unf,3,642,2,2006,Abnorml
250000,60,84,14260,FR2,NoRidge,Norm,Norm,2000,2000,Gable,BrkFace,350,Gd,PConc,490,1145,1145,1053,2198,4,1,Gd,9,Attchd,2000,RFn,3,836,12,2008,Normal
143000,50,85,14115,Inside,Mitchel,Norm,Norm,1993,1995,Gable,None,0,TA,Wood,64,796,796,566,1362,1,1,TA,5,Attchd,1993,Unf,2,480,10,2009,Normal
307000,20,75,10084,Inside,Somerst,Norm,Norm,2004,2005,Gable,Stone,186,Gd,PConc,317,1686,1694,0,1694,3,1,Gd,7,Attchd,2004,RFn,2,636,8,2007,Normal
200000,60,NA,10382,Corner,NWAmes,PosN,Norm,1973,1973,Gable,Stone,240,TA,CBlock,216,1107,1107,983,2090,3,1,TA,7,Attchd,1973,RFn,2,484,11,2009,Normal
129900,50,51,6120,Inside,OldTown,Artery,Norm,1931,1950,Gable,None,0,TA,BrkTil,952,952,1022,752,1774,2,2,TA,8,Detchd,1931,Unf,2,468,4,2008,Abnorml
118000,190,50,7420,Corner,BrkSide,Artery,Artery,1939,1950,Gable,None,0,TA,BrkTil,140,991,1077,0,1077,2,2,TA,5,Attchd,1939,RFn,1,205,1,2008,Normal
129500,20,70,11200,Inside,Sawyer,Norm,Norm,1965,1965,Hip,None,0,TA,CBlock,134,1040,1040,0,1040,3,1,TA,5,Detchd,1965,Unf,1,384,2,2008,Normal
345000,60,85,11924,Inside,NridgHt,Norm,Norm,2005,2006,Hip,Stone,286,Ex,PConc,177,1175,1182,1142,2324,4,1,Ex,11,BuiltIn,2005,Fin,3,736,7,2006,Partial
144000,20,NA,12968,Inside,Sawyer,Norm,Norm,1962,1962,Hip,None,0,TA,CBlock,175,912,912,0,912,2,1,TA,4,Detchd,1962,Unf,1,352,9,2008,Normal
279500,20,91,10652,Inside,CollgCr,Norm,Norm,2006,2007,Gable,Stone,306,Gd,PConc,1494,1494,1494,0,1494,3,1,Gd,7,Attchd,2006,RFn,3,840,8,2007,Partial
157000,20,NA,10920,Corner,NAmes,Norm,Norm,1960,1960,Hip,BrkFace,212,TA,CBlock,520,1253,1253,0,1253,2,1,TA,5,Attchd,1960,RFn,1,352,5,2008,Normal
132000,45,51,6120,Corner,BrkSide,Norm,Norm,1929,2001,Gable,None,0,TA,BrkTil,832,832,854,0,854,2,1,TA,5,Detchd,1991,Unf,2,576,7,2007,Normal
149000,20,NA,11241,CulDSac,NAmes,Norm,Norm,1970,1970,Gable,BrkFace,180,TA,CBlock,426,1004,1004,0,1004,2,1,TA,5,Attchd,1970,Fin,2,480,3,2010,Normal
90000,90,72,10791,Inside,Sawyer,Norm,Norm,1967,1967,Gable,None,0,TA,Slab,0,0,1296,0,1296,2,2,TA,6,CarPort,1967,Unf,2,516,10,2006,Normal
159000,20,66,13695,Inside,SawyerW,RRAe,Norm,2004,2004,Gable,None,0,TA,PConc,468,1114,1114,0,1114,3,1,Gd,6,Detchd,2004,Unf,2,576,6,2008,Normal
139000,20,70,7560,Inside,NAmes,Norm,Norm,1958,1965,Hip,None,0,TA,CBlock,525,1029,1339,0,1339,3,1,TA,6,Attchd,1958,Unf,1,294,5,2009,Abnorml
325300,60,101,14215,Corner,NridgHt,Norm,Norm,2005,2006,Gable,BrkFace,380,Gd,PConc,1158,1158,1158,1218,2376,4,1,Gd,9,BuiltIn,2005,RFn,3,853,11,2006,Partial
139400,45,57,7449,Inside,IDOTRR,Norm,Norm,1930,1950,Gable,None,0,TA,PConc,637,637,1108,0,1108,3,1,Gd,6,Attchd,1930,Unf,1,280,6,2007,Normal
230000,20,75,9742,Inside,CollgCr,Norm,Norm,2002,2002,Hip,BrkFace,281,Gd,PConc,1777,1777,1795,0,1795,3,1,Gd,7,Attchd,2002,RFn,2,534,9,2008,Normal
129900,120,44,4224,Inside,MeadowV,Norm,Norm,1976,1976,Gable,None,0,TA,PConc,200,1040,1060,0,1060,3,1,TA,6,Attchd,1976,Unf,2,572,6,2007,Normal
154000,20,NA,8246,Inside,Sawyer,Norm,Norm,1968,2001,Gable,None,0,TA,CBlock,204,1060,1060,0,1060,3,1,Gd,6,Attchd,1968,Unf,1,270,5,2010,Normal
256300,20,110,14230,Corner,NridgHt,Norm,Norm,2007,2007,Gable,Stone,640,Gd,PConc,1566,1566,1600,0,1600,3,1,Gd,7,Attchd,2007,RFn,3,890,7,2009,Normal
134800,20,60,7200,Corner,NAmes,Norm,Norm,1951,2000,Gable,None,0,TA,CBlock,180,900,900,0,900,3,1,Gd,5,Detchd,2005,Unf,2,576,5,2010,Normal
306000,20,98,11478,Inside,NridgHt,Norm,Norm,2007,2008,Gable,Stone,200,Gd,PConc,486,1704,1704,0,1704,3,1,Gd,7,Attchd,2008,RFn,3,772,5,2010,Normal
207500,20,47,16321,CulDSac,NAmes,Norm,Norm,1957,1997,Gable,None,0,TA,CBlock,207,1484,1600,0,1600,2,1,TA,6,Attchd,1957,RFn,1,319,12,2006,Normal
68500,30,60,6324,Inside,BrkSide,Feedr,RRNn,1927,1950,Gable,None,0,TA,BrkTil,520,520,520,0,520,1,1,Fa,4,Detchd,1920,Unf,1,240,5,2008,Normal
40000,70,50,8500,Inside,IDOTRR,Feedr,Norm,1920,1950,Gambrel,None,0,TA,BrkTil,649,649,649,668,1317,3,1,TA,6,Detchd,1920,Unf,1,250,7,2008,Normal
149350,20,NA,8544,CulDSac,Sawyer,Norm,Norm,1966,2006,Gable,None,0,TA,CBlock,1228,1228,1228,0,1228,3,1,Gd,6,Attchd,1966,Unf,1,271,6,2008,Normal
179900,20,85,11049,Corner,CollgCr,Norm,Norm,2007,2007,Gable,None,0,Gd,PConc,1234,1234,1234,0,1234,3,1,Gd,7,Attchd,2007,RFn,2,484,1,2008,Normal
165500,20,70,10552,Inside,NAmes,Norm,Norm,1959,1959,Hip,None,0,TA,CBlock,380,1398,1700,0,1700,4,1,Gd,6,Attchd,1959,RFn,2,447,4,2010,Normal
277500,120,60,7313,Inside,NridgHt,Norm,Norm,2005,2005,Hip,BrkFace,246,Ex,PConc,408,1561,1561,0,1561,2,1,Ex,6,Attchd,2005,Fin,2,556,8,2007,Normal
309000,60,108,13418,Inside,NridgHt,Norm,Norm,2004,2005,Gable,Stone,132,Gd,PConc,1117,1117,1132,1320,2452,4,1,Gd,9,BuiltIn,2004,Fin,3,691,9,2006,Normal
145000,20,112,10859,Corner,CollgCr,Norm,Norm,1994,1995,Gable,None,0,TA,PConc,1097,1097,1097,0,1097,3,1,TA,6,Attchd,1995,Unf,2,672,6,2009,Normal
153000,20,74,8532,Inside,NAmes,Norm,Norm,1954,1990,Hip,BrkFace,650,TA,CBlock,84,1297,1297,0,1297,3,1,TA,5,Attchd,1954,Fin,2,498,10,2009,Normal
109000,20,68,7922,Inside,NAmes,Norm,Norm,1953,2007,Gable,None,0,TA,CBlock,326,1057,1057,0,1057,3,1,Gd,5,Detchd,1953,Unf,1,246,1,2010,Abnorml
82000,90,65,6040,Inside,Edwards,Norm,Norm,1955,1955,Gable,None,0,TA,PConc,0,0,1152,0,1152,2,2,Fa,6,NA,NA,NA,0,0,6,2008,AdjLand
160000,20,84,8658,Inside,NAmes,Norm,Norm,1965,1965,Gable,BrkFace,101,TA,CBlock,445,1088,1324,0,1324,3,1,TA,6,Attchd,1965,RFn,2,440,12,2006,Abnorml
